Month,Monthly Average,Monthly Event Number
1,10.106601466992666,409
2,10.926685393258428,356
3,10.35408,625
4,11.079383429672449,519
5,10.57358121330724,511
6,11.09063670411985,534
7,10.94120481927711,415
8,10.706355932203389,472
9,11.27682619647355,397
10,10.543693693693692,444
11,10.622145328719723,578
12,10.593895870736086,557
