date,station,rr
2018-03-09,AWS Pasaman Barat,0.0
2018-03-10,AWS Pasaman Barat,14.0
2018-03-11,AWS Pasaman Barat,0.0
2018-03-12,AWS Pasaman Barat,0.0
2018-03-13,AWS Pasaman Barat,0.0
2018-03-14,AWS Pasaman Barat,58.2
2018-03-15,AWS Pasaman Barat,0.0
2018-03-16,AWS Pasaman Barat,0.0
2018-03-17,AWS Pasaman Barat,0.0
2018-03-18,AWS Pasaman Barat,2.6
2018-03-19,AWS Pasaman Barat,12.2
2018-03-20,AWS Pasaman Barat,5.200000000000001
2018-03-21,AWS Pasaman Barat,0.2
2018-03-22,AWS Pasaman Barat,0.0
2018-03-23,AWS Pasaman Barat,0.0
2018-03-24,AWS Pasaman Barat,13.2
2018-03-25,AWS Pasaman Barat,13.6
2018-03-26,AWS Pasaman Barat,129.2
2018-03-27,AWS Pasaman Barat,0.0
2018-03-28,AWS Pasaman Barat,0.0
2018-03-29,AWS Pasaman Barat,14.200000000000001
2018-03-30,AWS Pasaman Barat,0.2
2018-03-31,AWS Pasaman Barat,0.4
2018-04-01,AWS Pasaman Barat,10.2
2018-04-02,AWS Pasaman Barat,0.0
2018-04-03,AWS Pasaman Barat,0.0
2018-04-04,AWS Pasaman Barat,28.0
2018-04-05,AWS Pasaman Barat,53.4
2018-04-06,AWS Pasaman Barat,3.8
2018-04-07,AWS Pasaman Barat,55.4
2018-04-08,AWS Pasaman Barat,0.2
2018-04-09,AWS Pasaman Barat,0.0
2018-04-10,AWS Pasaman Barat,5.6
2018-04-11,AWS Pasaman Barat,4.4
2018-04-12,AWS Pasaman Barat,0.2
2018-04-13,AWS Pasaman Barat,6.4
2018-04-14,AWS Pasaman Barat,10.6
2018-04-15,AWS Pasaman Barat,22.2
2018-04-16,AWS Pasaman Barat,67.6
2018-04-17,AWS Pasaman Barat,3.6
2018-04-18,AWS Pasaman Barat,41.2
2018-04-19,AWS Pasaman Barat,103.0
2018-04-20,AWS Pasaman Barat,43.8
2018-04-21,AWS Pasaman Barat,0.2
2018-04-22,AWS Pasaman Barat,28.4
2018-04-23,AWS Pasaman Barat,78.2
2018-04-24,AWS Pasaman Barat,0.4
2018-04-25,AWS Pasaman Barat,0.2
2018-04-26,AWS Pasaman Barat,0.6000000000000001
2018-04-27,AWS Pasaman Barat,0.2
2018-04-28,AWS Pasaman Barat,0.0
2018-04-29,AWS Pasaman Barat,0.0
2018-04-30,AWS Pasaman Barat,0.0
2018-05-01,AWS Pasaman Barat,0.0
2018-05-02,AWS Pasaman Barat,2.4
2018-05-03,AWS Pasaman Barat,31.2
2018-05-04,AWS Pasaman Barat,0.0
2018-05-05,AWS Pasaman Barat,4.200000000000001
2018-05-06,AWS Pasaman Barat,4.4
2018-05-07,AWS Pasaman Barat,45.8
2018-05-08,AWS Pasaman Barat,0.4
2018-05-09,AWS Pasaman Barat,7.200000000000001
2018-05-10,AWS Pasaman Barat,2.8
2018-05-11,AWS Pasaman Barat,34.0
2018-05-12,AWS Pasaman Barat,1.8
2018-05-13,AWS Pasaman Barat,29.8
2018-05-14,AWS Pasaman Barat,31.200000000000003
2018-05-15,AWS Pasaman Barat,37.8
2018-05-16,AWS Pasaman Barat,44.6
2018-05-17,AWS Pasaman Barat,0.2
2018-05-18,AWS Pasaman Barat,78.0
2018-05-19,AWS Pasaman Barat,39.8
2018-05-20,AWS Pasaman Barat,1.2000000000000002
2018-05-21,AWS Pasaman Barat,1.0
2018-05-22,AWS Pasaman Barat,118.39999999999999
2018-05-23,AWS Pasaman Barat,1.2000000000000002
2018-05-24,AWS Pasaman Barat,9.800000000000002
2018-05-25,AWS Pasaman Barat,6.6
2018-05-26,AWS Pasaman Barat,31.999999999999993
2018-05-27,AWS Pasaman Barat,5.2
2018-05-28,AWS Pasaman Barat,0.8000000000000002
2018-05-29,AWS Pasaman Barat,4.2
2018-05-30,AWS Pasaman Barat,0.2
2018-05-31,AWS Pasaman Barat,3.4
2018-06-01,AWS Pasaman Barat,0.0
2018-06-02,AWS Pasaman Barat,0.0
2018-06-03,AWS Pasaman Barat,0.0
2018-06-04,AWS Pasaman Barat,18.6
