date,station,rr
2015-04-30,ARG SMPK Tanah Datar,0.0
2015-05-01,ARG SMPK Tanah Datar,0.0
2015-05-02,ARG SMPK Tanah Datar,2.4
2015-05-03,ARG SMPK Tanah Datar,0.2
2015-05-04,ARG SMPK Tanah Datar,0.0
2015-05-05,ARG SMPK Tanah Datar,0.0
2015-05-06,ARG SMPK Tanah Datar,0.0
2015-05-07,ARG SMPK Tanah Datar,2.0
2015-05-08,ARG SMPK Tanah Datar,3.1999999999999997
2015-05-09,ARG SMPK Tanah Datar,16.4
2015-05-10,ARG SMPK Tanah Datar,0.0
2015-05-11,ARG SMPK Tanah Datar,0.0
2015-05-12,ARG SMPK Tanah Datar,0.0
2015-05-13,ARG SMPK Tanah Datar,0.0
2015-05-14,ARG SMPK Tanah Datar,0.0
2015-05-15,ARG SMPK Tanah Datar,0.0
2015-05-16,ARG SMPK Tanah Datar,0.0
2015-05-17,ARG SMPK Tanah Datar,0.0
2015-05-18,ARG SMPK Tanah Datar,21.2
2015-05-19,ARG SMPK Tanah Datar,0.0
2015-05-20,ARG SMPK Tanah Datar,0.0
2015-05-21,ARG SMPK Tanah Datar,8.599999999999998
2015-05-22,ARG SMPK Tanah Datar,3.0
2015-05-23,ARG SMPK Tanah Datar,0.0
2015-05-24,ARG SMPK Tanah Datar,0.0
2015-05-25,ARG SMPK Tanah Datar,0.0
2015-05-26,ARG SMPK Tanah Datar,0.0
2015-05-27,ARG SMPK Tanah Datar,0.0
2015-05-28,ARG SMPK Tanah Datar,20.2
2015-05-29,ARG SMPK Tanah Datar,0.0
2015-05-30,ARG SMPK Tanah Datar,0.0
2015-05-31,ARG SMPK Tanah Datar,12.8
2015-06-01,ARG SMPK Tanah Datar,8.0
2015-06-02,ARG SMPK Tanah Datar,5.0
2015-06-03,ARG SMPK Tanah Datar,0.0
2015-06-04,ARG SMPK Tanah Datar,0.0
2015-06-05,ARG SMPK Tanah Datar,0.0
2015-06-06,ARG SMPK Tanah Datar,92.4
2015-06-07,ARG SMPK Tanah Datar,57.8
2015-06-08,ARG SMPK Tanah Datar,0.0
2015-06-09,ARG SMPK Tanah Datar,11.4
2015-06-10,ARG SMPK Tanah Datar,20.0
2015-06-11,ARG SMPK Tanah Datar,25.2
2015-06-12,ARG SMPK Tanah Datar,10.399999999999999
2015-06-13,ARG SMPK Tanah Datar,1.2000000000000002
2015-06-14,ARG SMPK Tanah Datar,1.2
2015-06-15,ARG SMPK Tanah Datar,0.0
2015-06-16,ARG SMPK Tanah Datar,0.0
2015-06-17,ARG SMPK Tanah Datar,0.0
2015-06-18,ARG SMPK Tanah Datar,0.0
2015-06-19,ARG SMPK Tanah Datar,0.0
2015-06-20,ARG SMPK Tanah Datar,0.0
2015-06-21,ARG SMPK Tanah Datar,0.0
2015-06-22,ARG SMPK Tanah Datar,0.0
2015-06-23,ARG SMPK Tanah Datar,0.0
2015-06-24,ARG SMPK Tanah Datar,0.0
2015-06-25,ARG SMPK Tanah Datar,0.0
2015-06-26,ARG SMPK Tanah Datar,0.0
2015-06-27,ARG SMPK Tanah Datar,0.0
2015-06-28,ARG SMPK Tanah Datar,0.0
2015-06-29,ARG SMPK Tanah Datar,0.0
2015-06-30,ARG SMPK Tanah Datar,0.0
2015-07-01,ARG SMPK Tanah Datar,0.0
2015-07-02,ARG SMPK Tanah Datar,0.0
2015-07-03,ARG SMPK Tanah Datar,0.0
2015-07-04,ARG SMPK Tanah Datar,0.0
2015-07-05,ARG SMPK Tanah Datar,0.0
2015-07-06,ARG SMPK Tanah Datar,0.0
2015-07-07,ARG SMPK Tanah Datar,0.0
2015-07-08,ARG SMPK Tanah Datar,2.8
2015-07-09,ARG SMPK Tanah Datar,0.0
2015-07-10,ARG SMPK Tanah Datar,0.0
2015-07-11,ARG SMPK Tanah Datar,0.0
2015-07-12,ARG SMPK Tanah Datar,0.0
2015-07-13,ARG SMPK Tanah Datar,0.0
2015-07-14,ARG SMPK Tanah Datar,0.0
2015-07-15,ARG SMPK Tanah Datar,0.0
2015-07-16,ARG SMPK Tanah Datar,5.0
2015-07-17,ARG SMPK Tanah Datar,42.4
2015-07-18,ARG SMPK Tanah Datar,0.2
2015-07-19,ARG SMPK Tanah Datar,0.0
2015-07-20,ARG SMPK Tanah Datar,0.0
2015-07-21,ARG SMPK Tanah Datar,0.0
2015-07-22,ARG SMPK Tanah Datar,0.0
2015-07-23,ARG SMPK Tanah Datar,0.0
2015-07-24,ARG SMPK Tanah Datar,0.0
2015-07-25,ARG SMPK Tanah Datar,3.0
2015-07-26,ARG SMPK Tanah Datar,4.0
2015-07-27,ARG SMPK Tanah Datar,0.0
2015-07-28,ARG SMPK Tanah Datar,0.0
2015-07-29,ARG SMPK Tanah Datar,0.0
2015-07-30,ARG SMPK Tanah Datar,0.0
2015-07-31,ARG SMPK Tanah Datar,0.4
2015-08-01,ARG SMPK Tanah Datar,0.0
2015-08-02,ARG SMPK Tanah Datar,0.0
2015-08-03,ARG SMPK Tanah Datar,0.0
2015-08-04,ARG SMPK Tanah Datar,0.0
2015-08-05,ARG SMPK Tanah Datar,0.2
2015-08-06,ARG SMPK Tanah Datar,4.0
2015-08-07,ARG SMPK Tanah Datar,0.2
2015-08-08,ARG SMPK Tanah Datar,2.8000000000000003
2015-08-09,ARG SMPK Tanah Datar,3.2000000000000006
2015-08-10,ARG SMPK Tanah Datar,4.3999999999999995
2015-08-11,ARG SMPK Tanah Datar,0.2
2015-08-12,ARG SMPK Tanah Datar,0.0
2015-08-13,ARG SMPK Tanah Datar,0.0
2015-08-14,ARG SMPK Tanah Datar,0.0
2015-08-15,ARG SMPK Tanah Datar,0.0
2015-08-16,ARG SMPK Tanah Datar,0.0
2015-08-17,ARG SMPK Tanah Datar,0.0
2015-08-18,ARG SMPK Tanah Datar,0.0
2015-08-19,ARG SMPK Tanah Datar,0.0
2015-08-20,ARG SMPK Tanah Datar,0.0
2015-08-21,ARG SMPK Tanah Datar,0.0
2015-08-22,ARG SMPK Tanah Datar,0.0
2015-08-23,ARG SMPK Tanah Datar,0.0
2015-08-24,ARG SMPK Tanah Datar,0.0
2015-08-25,ARG SMPK Tanah Datar,0.0
2015-08-26,ARG SMPK Tanah Datar,0.0
2015-08-27,ARG SMPK Tanah Datar,0.0
2015-08-28,ARG SMPK Tanah Datar,0.0
2015-08-29,ARG SMPK Tanah Datar,0.0
2015-08-30,ARG SMPK Tanah Datar,0.0
2015-08-31,ARG SMPK Tanah Datar,0.0
2015-09-01,ARG SMPK Tanah Datar,0.0
2015-09-02,ARG SMPK Tanah Datar,0.0
2015-09-03,ARG SMPK Tanah Datar,0.0
2015-09-04,ARG SMPK Tanah Datar,0.0
2015-09-05,ARG SMPK Tanah Datar,0.0
2015-09-06,ARG SMPK Tanah Datar,0.0
2015-09-07,ARG SMPK Tanah Datar,0.0
2015-09-08,ARG SMPK Tanah Datar,0.0
2015-09-09,ARG SMPK Tanah Datar,0.2
2015-09-10,ARG SMPK Tanah Datar,0.0
2015-09-11,ARG SMPK Tanah Datar,0.0
2015-09-12,ARG SMPK Tanah Datar,0.0
2015-09-13,ARG SMPK Tanah Datar,0.0
2015-09-14,ARG SMPK Tanah Datar,0.0
2015-09-15,ARG SMPK Tanah Datar,0.0
2015-09-16,ARG SMPK Tanah Datar,0.0
2015-09-17,ARG SMPK Tanah Datar,0.0
2015-09-18,ARG SMPK Tanah Datar,0.0
2015-09-19,ARG SMPK Tanah Datar,0.0
2015-09-20,ARG SMPK Tanah Datar,0.0
2015-09-21,ARG SMPK Tanah Datar,5.2
2015-09-22,ARG SMPK Tanah Datar,0.2
2015-09-23,ARG SMPK Tanah Datar,0.0
2015-09-24,ARG SMPK Tanah Datar,0.0
2015-09-25,ARG SMPK Tanah Datar,0.0
2015-09-26,ARG SMPK Tanah Datar,0.0
2015-09-27,ARG SMPK Tanah Datar,0.0
2015-09-28,ARG SMPK Tanah Datar,0.0
2015-09-29,ARG SMPK Tanah Datar,0.0
2015-09-30,ARG SMPK Tanah Datar,0.0
2015-10-01,ARG SMPK Tanah Datar,0.0
2015-10-02,ARG SMPK Tanah Datar,0.0
2015-10-03,ARG SMPK Tanah Datar,0.0
2015-10-04,ARG SMPK Tanah Datar,0.0
2015-10-05,ARG SMPK Tanah Datar,0.0
2015-10-06,ARG SMPK Tanah Datar,0.0
2015-10-07,ARG SMPK Tanah Datar,0.2
