date,station,rr
2018-02-01,ARG Solok Selatan,4.8
2018-02-02,ARG Solok Selatan,0.0
2018-02-03,ARG Solok Selatan,2.6
2018-02-04,ARG Solok Selatan,17.2
2018-02-05,ARG Solok Selatan,3.6
2018-02-06,ARG Solok Selatan,10.4
2018-02-07,ARG Solok Selatan,0.6000000000000001
2018-02-08,ARG Solok Selatan,0.2
2018-02-09,ARG Solok Selatan,7.4
2018-02-10,ARG Solok Selatan,7.800000000000001
2018-02-11,ARG Solok Selatan,7.4
2018-02-12,ARG Solok Selatan,5.6
2018-02-13,ARG Solok Selatan,0.6000000000000001
2018-02-14,ARG Solok Selatan,1.8000000000000003
2018-02-15,ARG Solok Selatan,2.6
2018-02-16,ARG Solok Selatan,0.0
2018-02-17,ARG Solok Selatan,15.0
2018-02-18,ARG Solok Selatan,9.2
2018-02-19,ARG Solok Selatan,11.6
2018-02-20,ARG Solok Selatan,81.8
2018-02-21,ARG Solok Selatan,21.6
2018-02-22,ARG Solok Selatan,1.7999999999999994
2018-02-23,ARG Solok Selatan,0.4
2018-02-24,ARG Solok Selatan,2.4
2018-02-25,ARG Solok Selatan,5.800000000000001
2018-02-26,ARG Solok Selatan,0.2
2018-02-27,ARG Solok Selatan,0.0
2018-02-28,ARG Solok Selatan,3.4000000000000004
2018-03-01,ARG Solok Selatan,16.8
2018-03-02,ARG Solok Selatan,16.0
2018-03-03,ARG Solok Selatan,1.4000000000000001
2018-03-04,ARG Solok Selatan,89.0
2018-03-05,ARG Solok Selatan,4.4
2018-03-06,ARG Solok Selatan,47.8
2018-03-07,ARG Solok Selatan,34.4
2018-03-08,ARG Solok Selatan,34.6
2018-03-09,ARG Solok Selatan,32.8
2018-03-10,ARG Solok Selatan,45.2
2018-03-11,ARG Solok Selatan,0.0
2018-03-12,ARG Solok Selatan,3.8
2018-03-13,ARG Solok Selatan,49.2
2018-03-14,ARG Solok Selatan,5.2
2018-03-15,ARG Solok Selatan,0.0
2018-03-16,ARG Solok Selatan,0.0
2018-03-17,ARG Solok Selatan,0.0
2018-03-18,ARG Solok Selatan,18.8
2018-03-19,ARG Solok Selatan,0.0
2018-03-20,ARG Solok Selatan,0.2
2018-03-21,ARG Solok Selatan,55.2
2018-03-22,ARG Solok Selatan,54.8
2018-03-23,ARG Solok Selatan,1.2000000000000002
2018-03-24,ARG Solok Selatan,3.6000000000000005
2018-03-25,ARG Solok Selatan,26.6
2018-03-26,ARG Solok Selatan,17.6
2018-03-27,ARG Solok Selatan,0.2
2018-03-28,ARG Solok Selatan,24.4
2018-03-29,ARG Solok Selatan,0.4
2018-03-30,ARG Solok Selatan,24.2
2018-03-31,ARG Solok Selatan,7.000000000000001
2018-04-01,ARG Solok Selatan,56.2
2018-04-02,ARG Solok Selatan,17.8
2018-04-03,ARG Solok Selatan,0.0
2018-04-04,ARG Solok Selatan,0.2
2018-04-05,ARG Solok Selatan,2.2
2018-04-06,ARG Solok Selatan,9.6
2018-04-07,ARG Solok Selatan,24.0
2018-04-08,ARG Solok Selatan,37.2
2018-04-09,ARG Solok Selatan,0.8
2018-04-10,ARG Solok Selatan,8.0
2018-04-11,ARG Solok Selatan,0.8000000000000002
2018-04-12,ARG Solok Selatan,29.2
2018-04-13,ARG Solok Selatan,8.2
2018-04-14,ARG Solok Selatan,9.6
2018-04-15,ARG Solok Selatan,15.4
2018-04-16,ARG Solok Selatan,9.4
2018-04-17,ARG Solok Selatan,95.6
2018-04-18,ARG Solok Selatan,55.4
