date,longitude,latitude,K_index
2017-06-13 06:40:00,100.7943,-1.095582,35.19240849824777
2017-07-09 09:50:00,100.7943,-1.095582,33.57693937110524
2017-07-09 10:00:00,100.7943,-1.095582,33.57693937110524
2017-07-09 10:10:00,100.7943,-1.095582,33.57693937110524
2017-07-09 10:20:00,100.7943,-1.095582,33.57693937110524
2017-08-24 08:00:00,100.7943,-1.095582,37.37480626780459
2017-09-08 11:50:00,100.7943,-1.095582,37.76966591414854
2018-02-20 09:30:00,100.7943,-1.095582,33.32326339116411
2018-02-21 07:30:00,100.7943,-1.095582,35.15061069683999
2018-03-01 07:50:00,100.7943,-1.095582,36.770049911188764
2018-03-13 07:40:00,100.7943,-1.095582,36.52503754743964
2018-03-18 06:30:00,100.7943,-1.095582,36.781727515894104
2018-04-03 09:10:00,100.7943,-1.095582,35.330273864577464
2018-04-03 09:20:00,100.7943,-1.095582,35.330273864577464
2018-04-19 06:40:00,100.7943,-1.095582,38.50606721449017
2018-04-30 07:00:00,100.7943,-1.095582,36.245724536128655
2018-05-04 06:30:00,100.7943,-1.095582,34.265868507812264
2018-08-16 06:40:00,100.7943,-1.095582,32.805866865389056
2018-08-30 06:20:00,100.7943,-1.095582,34.49399383458978
2018-10-10 13:40:00,100.7943,-1.095582,35.66820320019785
2020-03-17 16:30:00,100.7943,-1.095582,37.72117116164994
2020-04-02 05:50:00,100.7943,-1.095582,36.79893785924285
2020-04-25 12:40:00,100.7943,-1.095582,35.542916001717366
2020-05-14 07:30:00,100.7943,-1.095582,39.00797801782713
2020-05-14 08:10:00,100.7943,-1.095582,39.00797801782713
2020-05-14 08:20:00,100.7943,-1.095582,39.00797801782713
2020-05-30 13:30:00,100.7943,-1.095582,37.65498129993233
2020-05-31 08:40:00,100.7943,-1.095582,35.740942941003
2020-07-03 12:40:00,100.7943,-1.095582,35.46246559250527
2020-09-02 08:20:00,100.7943,-1.095582,36.9513708090711
2020-09-02 08:40:00,100.7943,-1.095582,38.731310086743584
2021-01-11 14:30:00,100.7943,-1.095582,38.17959499312859
2021-01-11 14:50:00,100.7943,-1.095582,38.17959499312859
2021-01-11 16:40:00,100.7943,-1.095582,37.64613315738919
2021-02-17 08:50:00,100.7943,-1.095582,34.13799455862241
2021-02-17 09:00:00,100.7943,-1.095582,34.13799455862241
2021-02-17 09:10:00,100.7943,-1.095582,34.13799455862241
2021-03-02 02:40:00,100.7943,-1.095582,33.43804243263927
2021-03-02 02:50:00,100.7943,-1.095582,33.43804243263927
2021-03-02 08:40:00,100.7943,-1.095582,35.77861682528584
2021-03-03 07:50:00,100.7943,-1.095582,35.18533066896925
2021-03-03 08:00:00,100.7943,-1.095582,35.18533066896925
2021-03-03 08:10:00,100.7943,-1.095582,35.18533066896925
2021-03-06 11:00:00,100.7943,-1.095582,37.688119653388675
2021-03-09 11:00:00,100.7943,-1.095582,32.29171172126664
2021-03-09 11:10:00,100.7943,-1.095582,32.29171172126664
2021-03-09 11:30:00,100.7943,-1.095582,33.67681088971776
2021-03-09 14:30:00,100.7943,-1.095582,36.58350244858437
2021-03-09 14:40:00,100.7943,-1.095582,36.58350244858437
2021-03-09 14:50:00,100.7943,-1.095582,36.58350244858437
2021-03-09 15:00:00,100.7943,-1.095582,36.58350244858437
2021-03-13 07:00:00,100.7943,-1.095582,37.506311029951306
2021-03-17 05:40:00,100.7943,-1.095582,42.88171140794713
2021-03-18 07:20:00,100.7943,-1.095582,35.50547443082159
2021-03-18 07:30:00,100.7943,-1.095582,33.711845653964495
2021-03-22 09:50:00,100.7943,-1.095582,35.56256525907761
2021-03-28 07:10:00,100.7943,-1.095582,36.669029894960126
2021-04-15 05:50:00,100.7943,-1.095582,37.26086377520233
2021-04-15 06:00:00,100.7943,-1.095582,37.26086377520233
2021-04-25 07:00:00,100.7943,-1.095582,34.28518070414032
2021-04-25 07:10:00,100.7943,-1.095582,34.28518070414032
2021-04-30 07:20:00,100.7943,-1.095582,35.0381006426449
2021-05-06 07:30:00,100.7943,-1.095582,35.954015930387264
2021-05-06 07:40:00,100.7943,-1.095582,35.954015930387264
2021-05-06 07:50:00,100.7943,-1.095582,35.954015930387264
2021-05-08 07:20:00,100.7943,-1.095582,34.12377565981241
2021-05-08 07:30:00,100.7943,-1.095582,34.73988863687266
2021-05-08 07:40:00,100.7943,-1.095582,34.73988863687266
2021-05-09 06:20:00,100.7943,-1.095582,35.52230528313892
2021-05-09 07:50:00,100.7943,-1.095582,37.60613329066634
2021-05-09 08:00:00,100.7943,-1.095582,37.60613329066634
2021-05-09 08:10:00,100.7943,-1.095582,37.60613329066634
