date,station,rr
2018-04-07,ARG,13.799999999999999
2018-04-08,ARG,0.0
2018-04-09,ARG,6.599999999999997
2018-04-10,ARG,0.0
2018-04-11,ARG,12.4
2018-04-12,ARG,4.0
2018-04-13,ARG,1.6
2018-04-14,ARG,0.6000000000000001
2018-04-15,ARG,42.20000000000001
2018-04-16,ARG,12.2
2018-04-17,ARG,1.6
2018-04-18,ARG,1.4
2018-04-19,ARG,0.0
2018-04-20,ARG,0.2
2018-04-21,ARG,3.0
2018-04-22,ARG,6.999999999999998
2018-04-23,ARG,23.799999999999997
2018-04-24,ARG,4.0
2018-04-25,ARG,0.0
2018-04-26,ARG,1.4000000000000001
2018-04-27,ARG,0.2
2018-04-28,ARG,0.0
2018-04-29,ARG,0.0
2018-04-30,ARG,0.0
2018-05-01,ARG,0.0
2018-05-02,ARG,0.0
2018-05-03,ARG,0.0
2018-05-04,ARG,0.0
2018-05-05,ARG,0.0
2018-05-06,ARG,3.0
2018-05-07,ARG,0.2
2018-05-08,ARG,0.0
2018-05-09,ARG,0.0
2018-05-10,ARG,0.0
2018-05-11,ARG,18.2
2018-05-12,ARG,0.0
2018-05-13,ARG,0.0
2018-05-14,ARG,10.999999999999998
2018-05-15,ARG,0.6000000000000001
2018-05-16,ARG,6.999999999999999
2018-05-17,ARG,0.0
2018-05-18,ARG,48.4
2018-05-19,ARG,26.799999999999997
2018-05-20,ARG,0.4
2018-05-21,ARG,2.2
2018-05-22,ARG,1.4000000000000001
2018-05-23,ARG,4.0
2018-05-24,ARG,0.0
2018-05-25,ARG,0.0
2018-05-26,ARG,47.600000000000016
2018-05-27,ARG,36.4
2018-05-28,ARG,0.0
2018-05-29,ARG,3.8000000000000003
2018-05-30,ARG,0.2
2018-05-31,ARG,0.0
2018-06-01,ARG,0.2
2018-06-02,ARG,0.0
2018-06-03,ARG,0.0
2018-06-04,ARG,0.0
2018-06-05,ARG,0.0
2018-06-06,ARG,0.0
2018-06-07,ARG,0.0
2018-06-08,ARG,0.0
2018-06-09,ARG,0.0
2018-06-10,ARG,0.0
2018-06-11,ARG,0.0
2018-06-12,ARG,0.0
2018-06-13,ARG,0.0
2018-06-14,ARG,54.2
2018-06-15,ARG,4.0
2018-06-16,ARG,0.0
2018-06-17,ARG,0.0
2018-06-18,ARG,3.4000000000000004
2018-06-19,ARG,0.0
2018-06-20,ARG,36.2
2018-06-21,ARG,0.0
2018-06-22,ARG,0.6000000000000001
2018-06-23,ARG,38.4
2018-06-24,ARG,0.2
2018-06-25,ARG,2.2
2018-06-26,ARG,5.2
2018-06-27,ARG,0.0
2018-06-28,ARG,3.0
2018-06-29,ARG,4.0
2018-06-30,ARG,0.0
2018-07-01,ARG,0.0
2018-07-02,ARG,0.4
2018-07-03,ARG,1.2
2018-07-04,ARG,14.999999999999998
2018-07-05,ARG,0.0
2018-07-06,ARG,0.0
2018-07-07,ARG,0.0
2018-07-08,ARG,2.4
2018-07-09,ARG,39.800000000000004
2018-07-10,ARG,41.599999999999994
2018-07-11,ARG,0.0
2018-07-12,ARG,0.0
2018-07-13,ARG,0.0
2018-07-14,ARG,0.0
2018-07-15,ARG,0.0
2018-07-16,ARG,0.0
2018-07-17,ARG,0.0
2018-07-18,ARG,0.0
2018-07-19,ARG,0.0
2018-07-20,ARG,1.4
2018-07-21,ARG,0.0
2018-07-22,ARG,0.0
2018-07-23,ARG,8.199999999999998
2018-07-24,ARG,0.0
2018-07-25,ARG,12.000000000000002
2018-07-26,ARG,0.0
2018-07-27,ARG,27.599999999999998
2018-07-28,ARG,0.4
2018-07-29,ARG,8.200000000000001
2018-07-30,ARG,0.0
2018-07-31,ARG,0.0
2018-08-01,ARG,0.0
2018-08-02,ARG,0.2
2018-08-03,ARG,0.0
2018-08-04,ARG,4.200000000000006
2018-08-05,ARG,0.0
2018-08-06,ARG,1.4
2018-08-07,ARG,0.8000000000000009
2018-08-08,ARG,1.6
2018-08-09,ARG,0.2
2018-08-10,ARG,0.0
2018-08-11,ARG,0.0
2018-08-12,ARG,0.0
2018-08-13,ARG,0.0
2018-08-14,ARG,0.0
2018-08-15,ARG,1.8
2018-08-16,ARG,0.0
2018-08-17,ARG,0.0
2018-08-18,ARG,0.0
2018-08-19,ARG,0.0
2018-08-20,ARG,0.0
2018-08-21,ARG,0.0
2018-08-22,ARG,2.0
2018-08-23,ARG,4.8
2018-08-24,ARG,3.4000000000000004
2018-08-25,ARG,0.0
2018-08-26,ARG,0.0
2018-08-27,ARG,0.2
2018-08-28,ARG,0.9999999999999991
2018-08-29,ARG,0.0
2018-08-30,ARG,0.0
2018-08-31,ARG,0.0
2018-09-01,ARG,0.0
2018-09-02,ARG,0.0
2018-09-03,ARG,0.0
2018-09-04,ARG,0.0
2018-09-05,ARG,0.0
2018-09-06,ARG,0.0
2018-09-07,ARG,0.0
2018-09-08,ARG,0.0
2018-09-09,ARG,0.0
2018-09-10,ARG,0.0
2018-09-11,ARG,0.0
2018-09-12,ARG,34.0
2018-09-13,ARG,0.0
2018-09-14,ARG,0.4
2018-09-15,ARG,0.0
2018-09-16,ARG,0.2
